epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,404.066,1.9,1.93392,1.75191,0.24312,0.25887,0.18804,0.0846,2.23168,2.60177,1.90658,0.000665567,0.000665567,0.000665567
2,798.616,1.90326,1.91702,1.73563,0.33924,0.2429,0.20668,0.0904,2.28484,2.2735,1.90052,0.00120034,0.00120034,0.00120034
3,1186.35,1.85894,1.84094,1.68643,0.42658,0.20323,0.22367,0.10872,2.07539,2.17107,1.72789,0.00160312,0.00160312,0.00160312
4,1575.27,1.76218,1.68573,1.61063,0.52191,0.21183,0.2422,0.11943,2.06702,2.00987,1.70549,0.001406,0.001406,0.001406
5,1962.54,1.68152,1.56711,1.53901,0.51994,0.24113,0.27882,0.13771,2.01251,1.86473,1.69476,0.001208,0.001208,0.001208
6,2350.58,1.61356,1.44752,1.49373,0.44653,0.32836,0.33168,0.17225,1.96537,1.74144,1.64368,0.00101,0.00101,0.00101
7,2739.91,1.57149,1.37835,1.45948,0.47345,0.32177,0.3406,0.17917,1.93245,1.71728,1.5968,0.000812,0.000812,0.000812
8,3125.15,1.51865,1.31153,1.42282,0.49272,0.36293,0.37215,0.20853,1.8067,1.55846,1.51196,0.000614,0.000614,0.000614
9,3513.13,1.4656,1.23448,1.38775,0.50472,0.39119,0.39619,0.21944,1.82443,1.51966,1.50361,0.000416,0.000416,0.000416
10,3899.41,1.43632,1.18183,1.36351,0.50821,0.38502,0.39997,0.226,1.78837,1.48224,1.48257,0.000218,0.000218,0.000218
